Task2 Solution (Core Perspective) of Our team:

Host0 finishes its jobs at 184.65, and is released at 186.36:

        Core0 has 28 tasks. It finishes its jobs at 177.30, and is released at 177.30:
                J04, B00, runTime 032.4 to 039.0
                J04, B11, runTime 039.0 to 043.6
                J04, B16, runTime 043.6 to 045.9
                J08, B12, runTime 046.4 to 056.9
                J08, B32, runTime 056.9 to 066.6
                J08, B46, runTime 066.6 to 074.2
                J08, B03, runTime 074.2 to 079.4
                J08, B49, runTime 079.4 to 083.7
                J08, B39, runTime 083.7 to 087.0
                J13, B49, runTime 107.9 to 130.4
                J13, B27, runTime 130.4 to 147.8
                J13, B32, runTime 147.8 to 162.3
                J13, B44, runTime 162.3 to 168.8
                J13, B29, runTime 168.8 to 173.9

        Core3 has 23 tasks. It finishes its jobs at 184.14, and is released at 184.53:
                J10, B19, runTime 000.0 to 007.2
                J10, B01, runTime 007.2 to 014.3
                J10, B52, runTime 014.3 to 020.5
                J10, B26, runTime 020.5 to 026.5
                J10, B08, runTime 026.5 to 031.9
                J10, B40, runTime 031.9 to 036.7
                J10, B28, runTime 036.7 to 040.9
                J10, B06, runTime 040.9 to 044.4
                J10, B49, runTime 044.4 to 047.7
                J10, B15, runTime 047.7 to 050.1
                J10, B36, runTime 050.1 to 052.6
                J10, B20, runTime 052.6 to 053.5
                J02, B10, runTime 078.2 to 093.1
                J02, B17, runTime 093.1 to 101.6
                J02, B02, runTime 101.6 to 106.2
                J03, B46, runTime 120.4 to 132.8
                J03, B28, runTime 132.8 to 144.8
                J03, B14, runTime 144.8 to 154.9
                J03, B09, runTime 154.9 to 164.7
                J03, B70, runTime 164.7 to 172.3
                J03, B66, runTime 172.3 to 179.1
                J03, B07, runTime 179.1 to 182.5
                J03, B06, runTime 182.5 to 184.1

        Core4 has 26 tasks. It finishes its jobs at 132.63, and is released at 132.72:
                J10, B29, runTime 000.0 to 007.3
                J10, B32, runTime 007.3 to 014.0
                J10, B45, runTime 014.0 to 020.5
                J10, B38, runTime 020.5 to 026.5
                J10, B10, runTime 026.5 to 031.7
                J10, B14, runTime 031.7 to 036.7
                J10, B02, runTime 036.7 to 040.9
                J10, B42, runTime 040.9 to 044.5
                J10, B09, runTime 044.5 to 047.4
                J10, B11, runTime 047.4 to 050.3
                J10, B43, runTime 050.3 to 051.8
                J10, B47, runTime 051.8 to 053.5
                J10, B21, runTime 053.5 to 054.2
                J02, B06, runTime 078.2 to 092.6
                J02, B26, runTime 092.6 to 102.7
                J02, B18, runTime 102.7 to 104.4
                J02, B12, runTime 104.4 to 106.2
                J11, B49, runTime 107.9 to 112.4
                J11, B13, runTime 112.4 to 116.3
                J11, B07, runTime 116.3 to 119.9
                J11, B45, runTime 119.9 to 123.3
                J11, B33, runTime 123.3 to 126.1
                J11, B11, runTime 126.1 to 128.6
                J11, B52, runTime 128.6 to 130.6
                J11, B23, runTime 130.6 to 131.8
                J11, B37, runTime 131.8 to 132.6

        Core5 has 24 tasks. It finishes its jobs at 132.70, and is released at 132.72:
                J10, B00, runTime 000.0 to 006.9
                J10, B34, runTime 006.9 to 014.0
                J10, B41, runTime 014.0 to 020.5
                J10, B51, runTime 020.5 to 026.4
                J10, B37, runTime 026.4 to 032.1
                J10, B59, runTime 032.1 to 036.9
                J10, B24, runTime 036.9 to 040.7
                J10, B54, runTime 040.7 to 044.4
                J10, B17, runTime 044.4 to 047.7
                J10, B46, runTime 047.7 to 050.2
                J10, B48, runTime 050.2 to 052.1
                J10, B55, runTime 052.1 to 053.2
                J10, B44, runTime 053.2 to 054.0
                J02, B03, runTime 078.2 to 092.6
                J02, B05, runTime 092.6 to 106.3
                J11, B43, runTime 107.9 to 112.3
                J11, B19, runTime 112.3 to 116.5
                J11, B15, runTime 116.5 to 119.9
                J11, B08, runTime 119.9 to 123.3
                J11, B30, runTime 123.3 to 126.0
                J11, B39, runTime 126.0 to 128.4
                J11, B21, runTime 128.4 to 130.6
                J11, B44, runTime 130.6 to 131.8
                J11, B41, runTime 131.8 to 132.7

        Core6 has 25 tasks. It finishes its jobs at 132.65, and is released at 132.72:
                J10, B31, runTime 000.0 to 007.3
                J10, B56, runTime 007.3 to 014.3
                J10, B61, runTime 014.3 to 020.6
                J10, B33, runTime 020.6 to 026.4
                J10, B53, runTime 026.4 to 032.2
                J10, B30, runTime 032.2 to 036.7
                J10, B50, runTime 036.7 to 041.1
                J10, B35, runTime 041.1 to 044.5
                J10, B18, runTime 044.5 to 047.5
                J10, B62, runTime 047.5 to 050.0
                J10, B07, runTime 050.0 to 052.6
                J10, B39, runTime 052.6 to 053.5
                J10, B25, runTime 053.5 to 054.3
                J02, B07, runTime 078.2 to 094.4
                J02, B22, runTime 094.4 to 101.5
                J02, B13, runTime 101.5 to 106.3
                J11, B53, runTime 107.9 to 112.6
                J11, B42, runTime 112.6 to 116.3
                J11, B09, runTime 116.3 to 119.9
                J11, B34, runTime 119.9 to 123.1
                J11, B20, runTime 123.1 to 126.2
                J11, B04, runTime 126.2 to 128.7
                J11, B10, runTime 128.7 to 130.6
                J11, B02, runTime 130.6 to 132.0
                J11, B36, runTime 132.0 to 132.6



The overall finish time is: 186.36
The total efficacious running time: 5181.34
Utilization rate: 0.82


Task2 Solution (Block Perspective) of Teaching Assistant:

Job0 obtains 7 cores (speed=21.45) and finishes at time 47.56:
        Block0: H0, C3, R9 (time=2.56)
        Block1: H0, C2, R19 (time=3.03) 
        Block2: H1, C3, R8 (time=3.78)
        Block3: H2, C10, R8 (time=3.68)
        Block4: H1, C3, R7 (time=4.29)
        Block5: H2, C8, R8 (time=3.68)
        Block6: H2, C10, R9 (time=3.36)
        Block7: H0, C3, R8 (time=3.64)
        Block8: H1, C3, R10 (time=1.45)
        Block9: H3, C0, R10 (time=2.24)
        Block10: H3, C0, R7 (time=4.38)
        Block11: H3, C0, R8 (time=3.87)
        Block12: H3, C0, R9 (time=3.45)
        Block13: H2, C8, R10 (time=2.05)
        Block14: H0, C2, R18 (time=3.73)
        Block15: H2, C8, R7 (time=4.52)
        Block16: H2, C9, R8 (time=4.01) 
        Block17: H0, C2, R20 (time=2.24)
        Block18: H2, C10, R10 (time=1.35)
        Block19: H2, C9, R11 (time=0.93)
        Block20: H1, C3, R11 (time=1.12)
        Block21: H2, C9, R7 (time=4.15)
        Block22: H2, C10, R11 (time=1.21)
        Block23: H2, C8, R9 (time=3.12)
        Block24: H0, C3, R7 (time=4.66)
        Block25: H2, C9, R10 (time=1.77)
        Block26: H1, C3, R9 (time=3.31)
        Block27: H2, C9, R9 (time=3.40)
        Block28: H2, C10, R7 (time=4.57)
        Block29: H0, C2, R17 (time=4.48)
        Block30: H0, C3, R10 (time=2.33) 

Job1 obtains 8 cores (speed=14.72) and finishes at time 22.36:
        Block0: H2, C4, R4 (time=3.26)
        Block1: H4, C0, R2 (time=5.77)
        Block2: H2, C4, R6 (time=0.68)
        Block3: H4, C0, R4 (time=2.51)
        Block4: H2, C4, R5 (time=1.15)
        Block5: H3, C7, R2 (time=5.64)
        Block6: H2, C4, R2 (time=5.50)
        Block7: H3, C6, R1 (time=6.72)
        Block8: H4, C0, R1 (time=6.04)
        Block9: H1, C1, R4 (time=2.85)
        Block10: H3, C6, R3 (time=3.80)
        Block11: H4, C0, R3 (time=5.03)
        Block12: H4, C2, R5 (time=2.31)
        Block13: H3, C7, R1 (time=6.72) 
        Block14: H2, C4, R3 (time=4.48)
        Block15: H4, C2, R3 (time=4.41)
        Block16: H1, C1, R1 (time=6.11)
        Block17: H4, C0, R5 (time=1.70)
        Block18: H4, C2, R2 (time=5.30)
        Block19: H1, C1, R2 (time=5.70)
        Block20: H4, C1, R4 (time=3.33)
        Block21: H3, C6, R5 (time=1.36)
        Block22: H4, C1, R1 (time=6.79)
        Block23: H1, C1, R3 (time=4.89)
        Block24: H4, C1, R2 (time=5.16)
        Block25: H2, C5, R2 (time=5.70)
        Block26: H3, C7, R3 (time=4.48) 
        Block27: H3, C7, R5 (time=1.36)
        Block28: H3, C6, R2 (time=5.43)
        Block29: H3, C7, R4 (time=3.06)
        Block30: H1, C1, R5 (time=1.49)
        Block31: H4, C1, R5 (time=0.75)
        Block32: H2, C5, R3 (time=4.82)
        Block33: H2, C4, R1 (time=6.59)
        Block34: H2, C5, R5 (time=2.17)
        Block35: H2, C5, R4 (time=2.58)
        Block36: H2, C5, R1 (time=6.18)
        Block37: H4, C1, R3 (time=4.41)
        Block38: H4, C1, R6 (time=0.75)
        Block39: H4, C2, R4 (time=2.85)
        Block40: H3, C6, R4 (time=3.74)
        Block41: H4, C2, R1 (time=6.79)

Job2 obtains 10 cores (speed=5.85) and finishes at time 107.91: 
        Block0: H2, C8, R16 (time=9.23)
        Block1: H2, C6, R13 (time=15.90)
        Block2: H4, C3, R15 (time=4.44)
        Block3: H4, C5, R14 (time=14.19)
        Block4: H2, C6, R14 (time=7.35)
        Block5: H4, C5, R15 (time=13.50)
        Block6: H4, C4, R14 (time=14.19)
        Block7: H4, C6, R14 (time=15.90)
        Block8: H0, C3, R17 (time=6.50)
        Block9: H2, C3, R10 (time=13.68)
        Block10: H4, C3, R13 (time=14.70)
        Block11: H3, C4, R12 (time=3.42)
        Block12: H4, C4, R17 (time=1.71)
        Block13: H4, C6, R16 (time=4.79)
        Block14: H3, C5, R12 (time=5.30) 
        Block15: H2, C8, R17 (time=3.08)
        Block16: H3, C4, R10 (time=15.73)
        Block17: H4, C3, R14 (time=8.38)
        Block18: H4, C4, R16 (time=1.71)
        Block19: H3, C5, R11 (time=8.03)
        Block20: H0, C3, R15 (time=15.73)
        Block21: H2, C6, R15 (time=3.25)
        Block22: H4, C6, R15 (time=7.01)
        Block23: H3, C5, R10 (time=14.87)
        Block24: H2, C8, R15 (time=14.19)
        Block25: H2, C3, R11 (time=13.50) 
        Block26: H4, C4, R15 (time=10.09)
        Block27: H3, C4, R11 (time=7.35)
        Block28: H0, C3, R16 (time=7.35)

Job3 obtains 10 cores (speed=7.48) and finishes at time 184.53:
        Block0: H0, C2, R40 (time=1.87)
        Block1: H2, C9, R28 (time=8.70)
        Block2: H3, C0, R24 (time=9.77)
        Block3: H3, C0, R28 (time=2.54)
        Block4: H3, C0, R23 (time=11.24)
        Block5: H2, C9, R24 (time=12.04)
        Block6: H4, C3, R23 (time=1.61)
        Block7: H4, C3, R22 (time=3.34)
        Block8: H2, C9, R25 (time=11.77) 
        Block9: H4, C3, R19 (time=9.63)
        Block10: H3, C0, R26 (time=8.16)
        Block11: H2, C7, R21 (time=9.63)
        Block12: H2, C10, R28 (time=8.29)
        Block13: H4, C1, R22 (time=12.17)
        Block14: H4, C3, R18 (time=9.90)
        Block15: H4, C1, R23 (time=11.77)
        Block16: H2, C7, R23 (time=8.70)
        Block17: H4, C1, R26 (time=7.09)
        Block18: H2, C7, R19 (time=13.11)
        Block19: H2, C10, R30 (time=3.21)
        Block20: H2, C8, R23 (time=6.69)
        Block21: H2, C7, R20 (time=11.64)
        Block22: H2, C4, R28 (time=6.29) 
        Block23: H2, C10, R27 (time=9.10) 
        Block24: H2, C4, R23 (time=12.44)
        Block25: H2, C10, R25 (time=11.77)
        Block26: H2, C8, R20 (time=9.63)
        Block27: H2, C9, R30 (time=4.68)
        Block28: H4, C3, R17 (time=11.77)
        Block29: H2, C4, R27 (time=8.29)
        Block30: H2, C7, R24 (time=5.35)
        Block31: H2, C8, R19 (time=11.37)
        Block32: H2, C8, R22 (time=7.36)
        Block33: H4, C1, R27 (time=7.09)
        Block34: H3, C6, R30 (time=6.96)
        Block35: H3, C6, R28 (time=8.96) 
        Block36: H2, C9, R26 (time=10.84)
        Block37: H2, C10, R31 (time=2.01)
        Block38: H0, C2, R35 (time=11.10)
        Block39: H3, C0, R25 (time=9.23)
        Block40: H2, C4, R25 (time=10.57)
        Block41: H2, C4, R30 (time=2.27)
        Block42: H0, C2, R33 (time=12.04)
        Block43: H2, C9, R27 (time=8.96)
        Block44: H3, C0, R29 (time=2.41)
        Block45: H3, C6, R31 (time=2.68)
        Block46: H4, C3, R16 (time=12.17)
        Block47: H0, C2, R34 (time=11.77)
        Block48: H4, C1, R28 (time=3.21)
        Block49: H4, C1, R24 (time=11.24) 
        Block50: H0, C2, R39 (time=3.21)
        Block51: H3, C6, R27 (time=10.97)
        Block52: H2, C7, R25 (time=4.01)
        Block53: H3, C6, R32 (time=2.27)
        Block54: H2, C9, R29 (time=4.82)
        Block55: H2, C10, R29 (time=6.02)
        Block56: H2, C7, R26 (time=1.34)
        Block57: H2, C4, R26 (time=9.23)
        Block58: H2, C10, R26 (time=10.57)
        Block59: H3, C0, R27 (time=6.69)
        Block60: H4, C1, R29 (time=1.47) 
        Block61: H2, C4, R24 (time=11.64)
        Block62: H2, C8, R18 (time=13.38)
        Block63: H3, C0, R22 (time=13.24)
        Block64: H2, C8, R21 (time=9.50)
        Block65: H2, C10, R24 (time=12.17)
        Block66: H4, C3, R21 (time=6.69)
        Block67: H3, C6, R29 (time=7.49)
        Block68: H0, C2, R38 (time=6.82)
        Block69: H0, C2, R37 (time=7.09)
        Block70: H4, C3, R20 (time=7.49)
        Block71: H3, C6, R26 (time=11.91) 
        Block72: H2, C7, R22 (time=9.10)
        Block73: H0, C2, R36 (time=8.96)
        Block74: H3, C6, R25 (time=11.91)
        Block75: H2, C4, R29 (time=2.68)
        Block76: H2, C8, R24 (time=3.75)
        Block77: H4, C1, R25 (time=8.70)

Job4 obtains 10 cores (speed=12.35) and finishes at time 46.39:
        Block0: H4, C2, R6 (time=6.40)
        Block1: H4, C0, R7 (time=4.70)
        Block2: H4, C0, R8 (time=2.91)
        Block3: H2, C7, R1 (time=7.85) 
        Block4: H4, C1, R8 (time=3.56)
        Block5: H2, C0, R9 (time=3.08)
        Block6: H4, C1, R9 (time=1.78)
        Block7: H3, C6, R7 (time=5.18)
        Block8: H3, C7, R6 (time=7.61)
        Block9: H2, C4, R9 (time=2.11)
        Block10: H2, C7, R3 (time=0.89)
        Block11: H4, C2, R7 (time=4.45)
        Block12: H2, C5, R6 (time=6.32)
        Block13: H2, C4, R8 (time=4.62)
        Block14: H4, C0, R6 (time=5.91) 
        Block15: H2, C0, R8 (time=3.97)
        Block16: H4, C2, R8 (time=2.27)
        Block17: H3, C6, R8 (time=3.08)
        Block18: H1, C1, R7 (time=5.10)
        Block19: H1, C1, R6 (time=5.59)
        Block20: H2, C5, R8 (time=2.43)
        Block21: H3, C7, R7 (time=3.72)
        Block22: H4, C1, R7 (time=7.85)
        Block23: H2, C5, R7 (time=4.53)
        Block24: H3, C6, R6 (time=5.18) 
        Block25: H3, C7, R8 (time=0.89)
        Block26: H2, C4, R7 (time=6.23)
        Block27: H1, C1, R8 (time=2.75)
        Block28: H2, C0, R7 (time=6.72)
        Block29: H2, C7, R2 (time=3.72)

Job5 obtains 3 cores (speed=8.50) and finishes at time 62.24:
        Block0: H3, C5, R8 (time=3.65)
        Block1: H2, C3, R4 (time=7.65)
        Block2: H2, C3, R2 (time=9.88)
        Block3: H3, C5, R4 (time=7.76)
        Block4: H3, C4, R5 (time=6.94)
        Block5: H3, C5, R9 (time=1.53)
        Block6: H3, C5, R3 (time=9.18)
        Block7: H3, C4, R6 (time=6.59) 
        Block8: H3, C4, R3 (time=8.59)
        Block9: H3, C5, R2 (time=10.35)
        Block10: H2, C3, R5 (time=6.82)
        Block11: H3, C4, R7 (time=4.35)
        Block12: H3, C5, R1 (time=10.82)
        Block13: H2, C3, R6 (time=5.76)
        Block14: H3, C5, R5 (time=6.94)
        Block15: H3, C4, R1 (time=10.59)
        Block16: H2, C3, R1 (time=11.41)
        Block17: H3, C4, R4 (time=8.00) 
        Block18: H3, C4, R9 (time=1.18)
        Block19: H3, C4, R2 (time=10.59)
        Block20: H3, C5, R6 (time=6.35)
        Block21: H2, C3, R3 (time=9.65)
        Block22: H3, C4, R8 (time=4.24)
        Block23: H2, C3, R8 (time=3.29)
        Block24: H2, C3, R7 (time=5.18)
        Block25: H3, C5, R7 (time=4.35)
        Block26: H2, C3, R9 (time=1.76)

Job6 obtains 9 cores (speed=16.00) and finishes at time 120.39:
        Block0: H2, C7, R15 (time=3.56)
        Block1: H3, C0, R15 (time=5.38) 
        Block2: H2, C10, R23 (time=1.44)
        Block3: H4, C1, R19 (time=1.69)
        Block4: H3, C0, R14 (time=5.88)
        Block5: H0, C2, R26 (time=5.12)
        Block6: H2, C7, R16 (time=2.81)
        Block7: H2, C7, R14 (time=4.19)
        Block8: H4, C1, R20 (time=1.50)
        Block9: H0, C2, R25 (time=6.25)
        Block10: H0, C2, R32 (time=1.31)
        Block11: H3, C0, R18 (time=3.69) 
        Block12: H2, C9, R19 (time=3.62)
        Block13: H1, C3, R17 (time=5.31)
        Block14: H3, C6, R22 (time=1.88)
        Block15: H3, C0, R17 (time=3.94)
        Block16: H3, C0, R20 (time=2.56)
        Block17: H2, C9, R23 (time=0.88)
        Block18: H3, C0, R16 (time=5.00)
        Block19: H1, C3, R22 (time=2.00)
        Block20: H2, C7, R11 (time=6.19)
        Block21: H2, C4, R14 (time=5.81)
        Block22: H2, C9, R15 (time=6.12)
        Block23: H0, C2, R28 (time=4.12) 
        Block24: H2, C10, R17 (time=5.19)
        Block25: H2, C4, R22 (time=0.62)
        Block26: H4, C1, R15 (time=4.38)
        Block27: H1, C3, R18 (time=4.62)
        Block28: H2, C7, R18 (time=1.19)
        Block29: H2, C4, R20 (time=1.69)
        Block30: H4, C1, R16 (time=4.25)
        Block31: H1, C3, R16 (time=6.00)
        Block32: H4, C1, R21 (time=1.00)
        Block33: H2, C10, R18 (time=4.44)
        Block34: H2, C9, R17 (time=4.69)
        Block35: H2, C7, R12 (time=5.19) 
        Block36: H0, C2, R29 (time=3.56)
        Block37: H2, C9, R20 (time=3.44)
        Block38: H3, C6, R18 (time=4.56)
        Block39: H2, C9, R22 (time=1.38)
        Block40: H2, C4, R19 (time=3.31)
        Block41: H1, C3, R19 (time=4.25)
        Block42: H2, C7, R13 (time=4.56)
        Block43: H0, C2, R30 (time=2.56)
        Block44: H3, C6, R20 (time=3.50)
        Block45: H2, C10, R20 (time=3.56)
        Block46: H4, C1, R18 (time=3.00)
        Block47: H4, C1, R14 (time=5.25)
        Block48: H3, C6, R23 (time=1.50)
        Block49: H2, C9, R16 (time=5.38)
        Block50: H2, C9, R21 (time=1.62)
        Block51: H2, C10, R22 (time=1.56)
        Block52: H2, C4, R15 (time=5.81)
        Block53: H3, C6, R16 (time=5.81)
        Block54: H0, C2, R31 (time=2.56)
        Block55: H2, C4, R17 (time=4.00)
        Block56: H3, C0, R19 (time=2.81)
        Block57: H3, C6, R17 (time=5.56)
        Block58: H2, C10, R16 (time=6.25)
        Block59: H2, C9, R18 (time=3.94) 
        Block60: H2, C4, R16 (time=4.31)
        Block61: H1, C3, R23 (time=1.44)
        Block62: H2, C7, R17 (time=2.38)
        Block63: H2, C4, R18 (time=3.81)
        Block64: H0, C2, R27 (time=4.50)
        Block65: H1, C3, R21 (time=2.88)
        Block66: H1, C3, R20 (time=3.50)
        Block67: H4, C1, R17 (time=3.88)
        Block68: H3, C6, R24 (time=0.81) 
        Block69: H3, C6, R21 (time=2.94)
        Block70: H2, C10, R19 (time=4.12)
        Block71: H2, C10, R21 (time=3.44)
        Block72: H4, C1, R13 (time=6.19)
        Block73: H3, C0, R21 (time=1.25)
        Block74: H3, C6, R19 (time=4.06)
        Block75: H1, C3, R24 (time=0.75)
        Block76: H2, C4, R21 (time=1.38)

Job7 obtains 7 cores (speed=10.45) and finishes at time 32.40:
        Block0: H0, C3, R5 (time=2.11)
        Block1: H3, C0, R3 (time=6.03)
        Block2: H3, C0, R5 (time=3.35)
        Block3: H2, C9, R1 (time=8.13)
        Block4: H2, C8, R6 (time=2.01) 
        Block5: H2, C10, R5 (time=2.87)
        Block6: H1, C3, R6 (time=1.63)
        Block7: H0, C3, R2 (time=7.27)
        Block8: H2, C8, R3 (time=6.12)
        Block9: H2, C0, R2 (time=7.18)
        Block10: H2, C8, R2 (time=7.27)
        Block11: H2, C8, R4 (time=3.73)
        Block12: H2, C10, R6 (time=1.53)
        Block13: H3, C0, R4 (time=4.98)
        Block14: H2, C10, R4 (time=5.26)
        Block15: H2, C9, R4 (time=3.64)
        Block16: H0, C3, R6 (time=1.82) 
        Block17: H2, C0, R4 (time=5.55)
        Block18: H0, C3, R4 (time=5.84)
        Block19: H2, C10, R3 (time=6.32)
        Block20: H2, C9, R5 (time=3.35)
        Block21: H2, C0, R3 (time=5.84)
        Block22: H3, C0, R2 (time=7.08)
        Block23: H0, C3, R1 (time=8.42)
        Block24: H2, C8, R1 (time=8.61)
        Block25: H1, C3, R5 (time=2.30)
        Block26: H2, C0, R5 (time=2.30)
        Block27: H1, C3, R3 (time=6.12)
        Block28: H3, C0, R1 (time=9.28)
        Block29: H2, C10, R1 (time=7.85)
        Block30: H1, C3, R4 (time=5.45) 
        Block31: H2, C9, R6 (time=2.11)
        Block32: H2, C8, R5 (time=3.54)
        Block33: H1, C3, R1 (time=8.71)
        Block34: H3, C0, R6 (time=1.15)
        Block35: H2, C10, R2 (time=7.75)
        Block36: H2, C9, R3 (time=6.79)
        Block37: H2, C0, R6 (time=1.63)
        Block38: H1, C3, R2 (time=7.18)
        Block39: H2, C9, R2 (time=7.27)
        Block40: H2, C0, R1 (time=9.19)
        Block41: H0, C3, R3 (time=6.22)

Job8 obtains 10 cores (speed=8.45) and finishes at time 88.48:
        Block0: H0, C0, R16 (time=11.72)
        Block1: H2, C0, R12 (time=7.10) 
        Block2: H3, C6, R9 (time=11.60)
        Block3: H4, C2, R12 (time=5.09)
        Block4: H1, C1, R15 (time=1.54)
        Block5: H1, C2, R21 (time=3.55)
        Block6: H2, C5, R13 (time=4.62)
        Block7: H3, C7, R11 (time=7.57)
        Block8: H1, C2, R18 (time=9.23)
        Block9: H2, C7, R9 (time=2.96)
        Block10: H3, C7, R14 (time=2.37)
        Block11: H3, C7, R15 (time=1.66)
        Block12: H4, C2, R9 (time=10.53) 
        Block13: H3, C7, R12 (time=5.56)
        Block14: H2, C7, R8 (time=4.73)
        Block15: H3, C7, R9 (time=11.01)
        Block16: H1, C1, R10 (time=8.76)
        Block17: H3, C7, R13 (time=4.26)
        Block18: H4, C0, R14 (time=3.08)
        Block19: H1, C2, R20 (time=6.04)
        Block20: H1, C1, R13 (time=3.91)
        Block21: H0, C0, R17 (time=8.40)
        Block22: H2, C0, R11 (time=9.47)
        Block23: H4, C0, R9 (time=10.89)
        Block24: H2, C7, R6 (time=8.05) 
        Block25: H3, C6, R11 (time=6.51)
        Block26: H2, C5, R9 (time=10.65)
        Block27: H0, C0, R22 (time=1.66)
        Block28: H0, C0, R20 (time=4.02)
        Block29: H1, C1, R11 (time=6.86)
        Block30: H2, C0, R16 (time=1.18)
        Block31: H2, C0, R13 (time=5.80)
        Block32: H4, C2, R10 (time=9.47)
        Block33: H2, C0, R15 (time=3.20)
        Block34: H4, C0, R13 (time=3.43)
        Block35: H1, C2, R17 (time=10.65)
        Block36: H2, C5, R14 (time=2.37) 
        Block37: H0, C0, R19 (time=5.80)
        Block38: H2, C5, R12 (time=4.73)
        Block39: H4, C2, R14 (time=3.20)
        Block40: H3, C6, R13 (time=4.26)
        Block41: H1, C1, R14 (time=3.08)
        Block42: H2, C5, R11 (time=7.93)
        Block43: H2, C7, R7 (time=4.85)
        Block44: H3, C7, R10 (time=8.76) 
        Block45: H4, C0, R12 (time=6.39)
        Block46: H4, C2, R11 (time=7.46)
        Block47: H0, C0, R18 (time=6.86)
        Block48: H3, C6, R15 (time=1.89)
        Block49: H4, C2, R13 (time=4.26)
        Block50: H2, C7, R4 (time=9.70)
        Block51: H2, C7, R10 (time=1.54)
        Block52: H3, C6, R10 (time=8.76)
        Block53: H2, C5, R15 (time=1.66)
        Block54: H4, C0, R10 (time=8.99)
        Block55: H1, C1, R12 (time=5.68) 
        Block56: H2, C0, R10 (time=10.41)
        Block57: H2, C7, R5 (time=9.70)
        Block58: H2, C0, R14 (time=3.79)
        Block59: H4, C0, R11 (time=7.10)
        Block60: H0, C0, R21 (time=2.72)
        Block61: H3, C6, R14 (time=2.13)
        Block62: H1, C2, R22 (time=3.43)
        Block63: H1, C1, R9 (time=11.48)
        Block64: H1, C2, R19 (time=6.98)
        Block65: H2, C5, R10 (time=9.11)
        Block66: H3, C6, R12 (time=6.04)

Job9 obtains 9 cores (speed=7.20) and finishes at time 78.23:
        Block0: H0, C3, R11 (time=10.97)
        Block1: H1, C3, R12 (time=12.92) 
        Block2: H4, C1, R11 (time=7.22)
        Block3: H2, C9, R12 (time=11.11)
        Block4: H0, C2, R23 (time=5.14)
        Block5: H2, C9, R14 (time=6.53)
        Block6: H3, C0, R12 (time=9.17)
        Block7: H2, C10, R12 (time=12.92)
        Block8: H0, C3, R14 (time=3.06)
        Block9: H0, C2, R24 (time=4.03)
        Block10: H2, C10, R15 (time=2.22)
        Block11: H2, C4, R11 (time=9.03)
        Block12: H4, C1, R10 (time=13.19)
        Block13: H4, C1, R12 (time=6.81)
        Block14: H1, C3, R15 (time=2.92) 
        Block15: H2, C10, R14 (time=6.67)
        Block16: H2, C8, R13 (time=4.86)
        Block17: H2, C4, R10 (time=11.53)
        Block18: H2, C9, R13 (time=9.31)
        Block19: H1, C3, R14 (time=5.97)
        Block20: H0, C3, R13 (time=4.86)
        Block21: H0, C2, R22 (time=8.61)
        Block22: H0, C2, R21 (time=12.50)
        Block23: H2, C4, R12 (time=5.83)
        Block24: H1, C3, R13 (time=7.64)
        Block25: H2, C8, R11 (time=12.50)
        Block26: H3, C0, R13 (time=6.81)
        Block27: H2, C4, R13 (time=3.06)
        Block28: H2, C10, R13 (time=7.36)
        Block29: H2, C8, R14 (time=3.06) 
        Block30: H2, C8, R12 (time=9.03)
        Block31: H3, C0, R11 (time=11.11)
        Block32: H0, C3, R12 (time=10.28)

Job10 obtains 5 cores (speed=14.00) and finishes at time 54.26:
        Block0: H4, C5, R1 (time=6.86)
        Block1: H4, C3, R2 (time=6.79)
        Block2: H4, C4, R7 (time=4.07)
        Block3: H2, C6, R3 (time=6.29)
        Block4: H2, C6, R4 (time=5.64)
        Block5: H2, C6, R5 (time=5.29)
        Block6: H4, C3, R8 (time=3.43)
        Block7: H4, C6, R11 (time=2.43)
        Block8: H4, C3, R5 (time=5.29)
        Block9: H4, C4, R9 (time=2.93)
        Block10: H4, C4, R5 (time=5.14)
        Block11: H4, C4, R10 (time=2.79) 
        Block12: H2, C6, R11 (time=1.79)
        Block13: H2, C6, R6 (time=4.64)
        Block14: H4, C4, R6 (time=4.86)
        Block15: H4, C3, R10 (time=2.43)
        Block16: H2, C6, R7 (time=4.00)
        Block17: H4, C5, R9 (time=3.21)
        Block18: H4, C6, R9 (time=2.86)
        Block19: H4, C3, R1 (time=7.00)
        Block20: H4, C3, R12 (time=0.93)
        Block21: H4, C4, R13 (time=0.71) 
        Block22: H2, C6, R8 (time=3.50)
        Block23: H2, C6, R2 (time=6.86)
        Block24: H4, C5, R7 (time=3.71)
        Block25: H4, C6, R13 (time=0.79)
        Block26: H4, C3, R4 (time=5.79)
        Block27: H2, C6, R12 (time=1.50)
        Block28: H4, C3, R7 (time=4.00)
        Block29: H4, C4, R1 (time=7.07)
        Block30: H4, C6, R6 (time=4.36)
        Block31: H4, C6, R1 (time=7.07)
        Block32: H4, C4, R2 (time=6.64)
        Block33: H4, C6, R4 (time=5.64)
        Block34: H4, C5, R2 (time=6.86)
        Block35: H4, C6, R8 (time=3.29)
        Block36: H4, C3, R11 (time=2.36) 
        Block37: H4, C5, R5 (time=5.50)
        Block38: H4, C4, R4 (time=5.86)
        Block39: H4, C6, R12 (time=0.86)
        Block40: H4, C3, R6 (time=4.64)
